,Output 1,Output 2,Output 3,Output 4
0,34,272,68,143
1,43,230,68,1054
2,46,693,68,41
3,43,8,68,277
4,41,446,68,123
5,49,149,68,29
6,59,130,69,174
7,49,618,68,21
8,41,434,68,26
9,50,11,68,822
10,43,2680,68,11
11,45,71,68,6
12,42,423,68,11
13,36,124,68,2
14,41,807,68,1
15,40,31,68,239
16,43,69,68,914
17,49,14,68,1144
18,56,668,68,0
19,46,76,68,31
20,50,851,68,34
21,51,169,68,81
22,42,487,68,63
23,40,64,68,1
24,42,91,68,66
25,46,64,68,60
26,47,68,68,59
27,48,138,68,1
28,52,679,68,9
29,48,318,68,2
30,50,0,68,435
31,45,15,68,592
32,41,1,68,3
33,40,436,68,10
34,42,170,68,4
35,43,30,68,40
36,45,3,68,497
37,38,7,68,344
38,44,125,68,7
39,45,17,68,122
40,45,4,68,23
41,43,2,68,4
42,44,370,68,3
43,45,12,68,66
44,44,3,68,159
45,45,3,68,222
46,44,105,68,1
47,45,0,68,16
48,45,4,68,11
49,45,20,68,3
